Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
76,L Lowe,Immigrant acts: on Asian American cultural politics,5001,1996, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=CZXtZ8lFepsC&oi=fnd&pg=PR9&dq=asian+american+housing,+economics&ots=YuqxqbLgRH&sig=0NecHeEOtEIXUrauia4xU1dB9es",167
98,D Palumbo-Liu,Asian/American: Historical crossings of a racial frontier,1217,1999, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=myTsFvusht0C&oi=fnd&pg=PA6&dq=asian+american+housing,+economics&ots=UvIAkCZXkn&sig=1aO7beI7eL91b7NTfK34tzJoxIY",45
36,"J Lee, M Zhou",The asian American achievement paradox,1065,2015, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=QwZpCAAAQBAJ&oi=fnd&pg=PR7&dq=asian+american+housing,+economics&ots=YmmDyfyiow&sig=gW3Rp-G4XBiTVtEoTlAQL7ctP5M",97
61,BO Hing,Making and Remaking Asian America: 1850-1990,840,1994, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=djG2jb-B7wUC&oi=fnd&pg=PA1&dq=asian+american+housing,+economics&ots=P_A1NdGv3g&sig=SE-604DIWH3gixne2OYhuqDzhHM",26
83,AN Ancheta,"Race, rights, and the Asian American experience",697,2006, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=MPkK9kXQY4oC&oi=fnd&pg=PR9&dq=asian+american+housing,+economics&ots=dNq8DkjRw0&sig=QO3IyKg7ZRl_LsEMrpzBVZFJNPU",35
34,"Z Zeng, Y Xie",Asian-Americans' earnings disadvantage reexamined: The role of place of education,510,2004, journals.uchicago.edu, American journal of sociology,https://www.journals.uchicago.edu/doi/abs/10.1086/381914,23
11,"A Sakamoto, KA Goyette, CH Kim",Socioeconomic attainments of Asian Americans,446,2009, annualreviews.org, Annual Review of Sociology,https://www.annualreviews.org/content/journals/10.1146/annurev-soc-070308-115958,26
55,"LJ Krivo, RL Kaufman",Housing and wealth inequality: Racial-ethnic differences in home equity in the United States,427,2004, Springer, Demography,https://link.springer.com/article/10.1353/dem.2004.0023,19
65,"WM Hurh, KC Kim","The 'success' image of Asian Americans: Its validity, and its practical and theoretical implications",412,1989, Taylor & Francis, Ethnic and Racial Studies,https://www.tandfonline.com/doi/abs/10.1080/01419870.1989.9993650,11
28,"G Painter, S Gabriel, D Myers","Race, immigrant status, and housing tenure choice",340,2001, Elsevier, Journal of urban economics,https://www.sciencedirect.com/science/article/pii/S0094119000921880,14
77,J Lew,Asian Americans in class: Charting the achievement gap among Korean American youth,333,2006, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=LD4ZgEtqFyUC&oi=fnd&pg=PR7&dq=asian+american+housing,+economics&ots=x7owt9o_Qv&sig=lsnNoOsDrRlWLAFo45Yl9QrocsE",17
96,J Lee,Performing Asian America: Race and ethnicity on the contemporary stage,310,1998, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=rFBzEAAAQBAJ&oi=fnd&pg=PR5&dq=asian+american+housing,+economics&ots=7vlIPESTKJ&sig=mtmqm85p2c8I7TdiuxG5y8Gb598",11
2,NE Coulson,Why are Hispanic-and Asian-American homeownership rates so low?: Immigration and other factors,273,1999, Elsevier, Journal of Urban Economics,https://www.sciencedirect.com/science/article/pii/S0094119098920940,10
37,"J Lee, M Zhou",The success frame and achievement paradox: The costs and consequences for Asian Americans,259,2014, Springer, Race and Social Problems,https://link.springer.com/article/10.1007/s12552-014-9112-7,22
86,"CH Kim, A Sakamoto",Have Asian American men achieved labor market parity with white men?,229,2010, journals.sagepub.com, American Sociological Review,https://journals.sagepub.com/doi/abs/10.1177/0003122410388501,14
35,"JC Lee, S Kye",Racialized assimilation of asian americans,222,2016, annualreviews.org, Annual Review of Sociology,https://www.annualreviews.org/content/journals/10.1146/annurev-soc-081715-074310,22
90,"E Lee, MR Mock, M McGoldrick, J Giordano…",Asian families,180,2005, books.google.com, Ethnicity & family …,"https://books.google.com/books?hl=en&lr=&id=5hjHDwAAQBAJ&oi=fnd&pg=PA269&dq=asian+american+housing,+economics&ots=JkgrwqLmuG&sig=NIrgmLYXehdbpFH6tMiSwn5rpQQ",9
41,BR Chiswick,An analysis of the earnings and employment of Asian-American men,177,1983, journals.uchicago.edu, Journal of Labor Economics,https://www.journals.uchicago.edu/doi/abs/10.1086/298010,4
89,J Lew,Burden of acting neither White nor Black: Asian American identities and achievement in urban schools,133,2006, Springer, The Urban Review,https://link.springer.com/article/10.1007/s11256-006-0040-8,7
9,"JA Burr, JE Mutchler","Nativity, acculturation, and economic status: Explanations of Asian American living arrangements in later life",132,1993, academic.oup.com, Journal of Gerontology,https://academic.oup.com/geronj/article-abstract/48/2/S55/542432,4
64,"AB de Castro, GC Gee, DT Takeuchi","Examining alternative measures of social disadvantage among Asian Americans: the relevance of economic opportunity, subjective social status, and financial strain …",127,2010, Springer, Journal of Immigrant and Minority …,https://link.springer.com/article/10.1007/s10903-009-9258-3,8
73,AS Park,Racial conflict and healing: An Asian-American theological perspective,127,2009, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=-FZMAwAAQBAJ&oi=fnd&pg=PR9&dq=asian+american+housing,+economics&ots=XlltljINyr&sig=mCLocvMuhrdJgIY-LKX2_uhEWzE",7
53,DG Okamoto,Institutional panethnicity: Boundary formation in Asian-American organizing,127,2006, muse.jhu.edu, Social Forces,https://muse.jhu.edu/pub/12/article/204029/summary,6
54,ENL Chow,The feminist movement: Where are all the Asian American women?,126,1992, JSTOR,Japan Women's Journal. English Supplement,https://www.jstor.org/stable/42772039,4
56,LT Võ,Mobilizing an Asian American Community,119,2004, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=etKbIhfnCiYC&oi=fnd&pg=PR9&dq=asian+american+housing,+economics&ots=ZbHv_Rgrcj&sig=BtOzz2qrQW0LWsuBrxXaKkXyzEo",5
66,"GL Stein, L Kiang, AJ Supple…",Ethnic identity as a protective factor in the lives of Asian American adolescents.,117,2014, psycnet.apa.org, Asian American Journal …,https://psycnet.apa.org/journals/aap/5/3/206/,10
92,E Lee,Orientalisms in the Americas: A hemispheric approach to Asian American history,115,2005, muse.jhu.edu, Journal of Asian American Studies,https://muse.jhu.edu/pub/1/article/188678/summary,5
3,"V Nee, HY Wong",Asian American socioeconomic achievement: The strength of the family bond,109,2014, taylorfrancis.com, Asian American Family Life and Community,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203827420-3/asian-american-socioeconomic-achievement-victor-nee-herbert-wong,9
1,"G Painter, L Yang, Z Yu",Heterogeneity in Asian American home-ownership: The impact of household endowments and immigrant status,109,2003, journals.sagepub.com, Urban Studies,https://journals.sagepub.com/doi/abs/10.1080/0042098032000053897,5
87,"VM Ta, P Holck, GC Gee",… status and family cohesion effects on the receipt of mental health services among Asian Americans: Findings from the national Latino and Asian American study,109,2010, ajph.aphapublications.org, American Journal of Public …,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2009.160762,7
31,"K Yamanaka, K McClelland",Earning the model‐minority image: Diverse strategies of economic adaptation by Asian‐American women,106,1994, Taylor & Francis, Ethnic and Racial Studies,https://www.tandfonline.com/doi/abs/10.1080/01419870.1994.9993814,3
40,"J Lee, M Zhou",Why class matters less for Asian-American academic achievement,105,2019, taylorfrancis.com, Asian Migration and Education Cultures in the …,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429059223-3/class-matters-less-asian-american-academic-achievement-jennifer-lee-min-zhou,15
17,"ES Lee, X Rong",The educational and economic achievement of Asian-Americans,90,1988, journals.uchicago.edu, The Elementary School Journal,https://www.journals.uchicago.edu/doi/abs/10.1086/461556,2
80,MY Danico,Asian American society: an encyclopedia,86,2014, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=gZleBAAAQBAJ&oi=fnd&pg=PP1&dq=asian+american+housing,+economics&ots=HzLdkIbXWv&sig=Ul2RmJ36yRGu_jm6_jl7usQJ3c8",7
88,M Ro,Moving forward: addressing the health of Asian American and Pacific Islander women,86,2002, ajph.aphapublications.org, American journal of public health,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.92.4.516,4
